event_id,user_id,event_type,event_date,channel,duration_sec,session_id
EVT00001,USR0144,Search,2023-05-26T00:00:00,API,1768,SES1667
EVT00002,USR0164,Session End,07-12-25,Email,2830,SES5297
EVT00003,USR0067,Page View,07/18/2025,Mobile App,1361,SES9147
EVT00004,USR0049,Purchase,08-Jan-2023,Partner,2848,SES3319
EVT00005,USR0183,Page View,12/23/2023,Direct,,SES5165
EVT00006,USR0138,Download,13/10/2024,API,464,SES6102
EVT00007,USR0005,Logout,12/09/2024,Mobile App,2657,SES7931
EVT00008,USR0027,Download,Feb 16 2024,API,1477,SES6123
EVT00009,USR0049,Purchase,2025-01-13,Direct,1655,SES5249
EVT00010,USR0054,Page View,04/15/2023,Mobile App,63,SES4874
EVT00011,USR0087,Page View,2023-10-07T00:00:00,Partner,795,SES9565
EVT00012,USR0167,Purchase,10/07/2024,Partner,3528,SES9399
EVT00013,USR0143,Session End,Oct 01 2025,Mobile App,1501,SES6315
EVT00014,USR0184,Download,Dec 18 2025,Email,3461,SES1034
EVT00015,USR0084,Search,2025-04-30T00:00:00,Email,2194,SES2017
EVT00016,USR0041,Profile Update,Jan 20 2023,Email,1183,SES2877
EVT00017,USR0009,Page View,15-Sep-2023,API,3559,SES4710
EVT00018,USR0183,Session Start,10-Dec-2025,Mobile App,1149,SES1422
EVT00019,USR0142,Password Reset,01/01/2024,Direct,2700,SES8502
EVT00020,USR0035,Session End,14/12/2023,API,2330,SES4107
EVT00021,USR0070,Password Reset,"April 21, 2023",Partner,2085,SES5985
EVT00022,USR0113,Profile Update,09/30/2024,Direct,2396,SES6244
EVT00023,USR0196,Error,2024-04-28,Email,848,SES7884
EVT00024,USR0099,Password Reset,27-Jun-2023,Partner,1714,SES3421
EVT00025,USR0046,Form Submit,12/16/2023,API,1123,SES7763
EVT00026,USR0033,Search,12/26/2023,Web,675,SES1410
EVT00027,USR0193,Purchase,08-22-23,API,1525,SES3109
EVT00028,USR0181,Download,20231106,Partner,1086,SES9682
EVT00029,USR0017,Form Submit,May 04 2025,Web,2370,SES6846
EVT00030,USR0053,Download,2024-07-07T00:00:00,Partner,1032,SES6800
EVT00031,USR0166,Download,20230816,Web,1332,SES7023
EVT00032,USR0137,Profile Update,02/28/2025,Mobile App,,SES5741
EVT00033,USR0185,Login,"December 17, 2024",Email,3093,SES6462
EVT00034,USR0104,Form Submit,2025-06-09T00:00:00,Partner,2993,SES5167
EVT00035,USR0033,Search,Feb 05 2023,Partner,571,SES4254
EVT00036,USR0098,Search,Nov 09 2023,Mobile App,474,SES8294
EVT00037,USR0124,Profile Update,2024-12-06T00:00:00,Partner,,SES5771
EVT00038,USR0091,Session Start,Mar 08 2024,Partner,2245,SES4653
EVT00039,USR0041,Download,04-21-23,API,,SES4639
EVT00040,USR0041,Login,2024-11-07,Web,1132,SES7324
EVT00041,USR0053,Profile Update,04-Feb-2025,Direct,3081,SES9011
EVT00042,USR0012,Session Start,09-14-23,API,346,SES2924
EVT00043,USR0103,Download,Jun 08 2024,Partner,367,SES3715
EVT00044,USR0041,Error,08-Jul-2023,Email,1312,SES3965
EVT00045,USR0020,Session End,10-20-23,Partner,1388,SES8379
EVT00046,USR0167,Form Submit,2024-07-10,Mobile App,2169,SES1582
EVT00047,USR0112,Purchase,20240314,Web,,SES4929
EVT00048,USR0057,Form Submit,Nov 05 2023,Direct,785,SES8031
EVT00049,USR0008,Session End,07/16/2024,Email,574,SES5714
EVT00050,USR0191,Password Reset,"April 05, 2024",Direct,2134,SES2878
EVT00051,USR0087,Error,08/05/2023,API,,SES8089
EVT00052,USR0104,Login,20251221,Mobile App,2523,SES1573
EVT00053,USR0038,Purchase,02-Dec-2024,Mobile App,1150,SES2441
EVT00054,USR0026,Session End,2025-01-14T00:00:00,Web,1499,SES4828
EVT00055,USR0088,Logout,"October 22, 2024",Web,1755,SES4006
EVT00056,USR0160,Logout,09/21/2025,Email,983,SES9839
EVT00057,USR0052,Form Submit,20240808,API,3568,SES7411
EVT00058,USR0006,Login,22/03/2024,Mobile App,2456,SES1035
EVT00059,USR0025,Session End,2024-06-03T00:00:00,Web,3321,SES9971
EVT00060,USR0130,Session Start,21/09/2024,Direct,,SES4498
EVT00061,USR0065,Purchase,2024-12-08,Email,2372,SES9771
EVT00062,USR0162,Password Reset,2023-02-19T00:00:00,Direct,1490,SES8876
EVT00063,USR0116,Download,2024-06-27T00:00:00,Direct,,SES7339
EVT00064,USR0127,Profile Update,01/13/2025,API,2214,SES4457
EVT00065,USR0197,Page View,2025-01-15T00:00:00,Mobile App,67,SES5570
EVT00066,USR0002,Error,"January 06, 2025",Partner,,SES9445
EVT00067,USR0120,Download,2024-02-19T00:00:00,Mobile App,3074,SES9875
EVT00068,USR0106,Session End,06-27-24,Mobile App,1119,SES6901
EVT00069,USR0047,Profile Update,01/12/2024,Direct,1274,SES9533
EVT00070,USR0124,Profile Update,24/12/2023,Email,419,SES4389
EVT00071,USR0087,Password Reset,TBD,Direct,1800,SES3787
EVT00072,USR0027,Login,12-Jul-2023,Mobile App,1747,SES2462
EVT00073,USR0079,Purchase,2024-08-09,API,613,SES6998
EVT00074,USR0153,Download,04/09/2024,API,,SES9574
EVT00075,USR0020,Password Reset,21-Aug-2023,API,1786,SES3713
EVT00076,USR0058,Password Reset,07/19/2024,API,408,SES9643
EVT00077,USR0088,Search,01-26-24,Email,3400,SES5072
EVT00078,USR0055,Error,2025-03-25,Direct,,SES6140
EVT00079,USR0055,Session Start,22-Sep-2023,Email,1497,SES7919
EVT00080,USR0140,Download,27-Jun-2023,Direct,803,SES5758
EVT00081,USR0053,Search,20230303,API,1717,SES3315
EVT00082,USR0091,Form Submit,10-21-24,Mobile App,2911,SES3640
EVT00083,USR0169,Session Start,26-Aug-2025,Email,1491,SES1339
EVT00084,USR0168,Download,"August 20, 2023",Partner,2237,SES4370
EVT00085,USR0135,Logout,20240930,Direct,2869,SES8539
EVT00086,USR0017,Form Submit,2023-07-15T00:00:00,API,333,SES8104
EVT00087,USR0096,Form Submit,12/30/2024,Mobile App,1284,SES9445
EVT00088,USR0154,Login,"November 17, 2024",Direct,2647,SES3897
EVT00089,USR0050,Logout,20-Jul-2024,Direct,2718,SES8916
EVT00090,USR0037,Session End,19/10/2025,Partner,1856,SES5497
EVT00091,USR0198,Download,2024-04-29T00:00:00,Web,,SES5178
EVT00092,USR0092,Session Start,01-Feb-2023,API,3409,SES2992
EVT00093,USR0034,Session End,17-Sep-2024,Mobile App,2600,SES6308
EVT00094,USR0019,Form Submit,2025-11-26,Web,1118,SES3820
EVT00095,USR0118,Error,01-08-25,API,799,SES8718
EVT00096,USR0170,Password Reset,2024-07-01T00:00:00,Partner,341,SES7182
EVT00097,USR0006,Login,14-Jul-2024,Web,3047,SES1902
EVT00098,USR0078,Logout,Nov 18 2023,Direct,3510,SES4066
