sale_id,date_id,customer_id,product_id,store_id,promotion_id,quantity,unit_price,discount_pct,discount_amount,gross_revenue,net_revenue,unit_cost,cogs,gross_profit,is_return,order_channel
SLS000001,20230203,CUST00408,PRD0042,STR003,PROMO006,1,404.33,0.25,101.08,404.33,303.25,189.3,189.3,113.95,FALSE,Marketplace
SLS000002,20240113,CUST00315,PRD0002,STR001,PROMO006,2,476.98,0.25,238.49,953.96,715.47,184.29,368.58,346.89,FALSE,Online
SLS000003,20251010,CUST00044,PRD0015,STR004,PROMO010,4,201.22,0.08,64.39,804.88,740.49,114.88,459.52,280.97,FALSE,In-Store
SLS000004,20250919,CUST00245,PRD0017,STR003,PROMO004,3,387.1,0.2,232.26,1161.3,929.04,175.87,527.61,401.43,FALSE,Marketplace
SLS000005,20231129,CUST00447,PRD0086,STR003,PROMO008,4,132.21,0.1,52.88,528.84,475.96,68.81,275.24,200.72,FALSE,Marketplace
SLS000006,20230328,CUST00180,PRD0041,STR007,PROMO012,4,265.41,0.12,127.4,1061.64,934.24,138.76,555.04,379.2,FALSE,In-Store
SLS000007,20251219,CUST00394,PRD0074,STR004,PROMO007,4,402.17,0.15,241.3,1608.68,1367.38,232.8,931.2,436.18,FALSE,In-Store
SLS000008,20250125,CUST00226,PRD0038,STR009,PROMO002,3,183.76,0.15,82.69,551.28,468.59,80.15,240.45,228.14,FALSE,In-Store
SLS000009,20250214,CUST00049,PRD0017,STR007,PROMO005,4,387.1,0.12,185.81,1548.4,1362.59,175.87,703.48,659.11,FALSE,In-Store
SLS000010,20250926,CUST00094,PRD0041,STR004,PROMO003,4,265.41,0.1,106.16,1061.64,955.48,138.76,555.04,400.44,FALSE,In-Store
SLS000011,20250503,CUST00291,PRD0098,STR008,PROMO010,4,61.76,0.08,19.76,247.04,227.28,28.79,115.16,112.12,FALSE,In-Store
SLS000012,20241224,CUST00036,PRD0026,STR004,PROMO011,5,186.17,0.18,167.55,930.85,763.3,107.56,537.8,225.5,FALSE,In-Store
SLS000013,20240206,CUST00294,PRD0061,STR004,PROMO009,3,486.92,0.22,321.37,1460.76,1139.39,238.6,715.8,423.59,FALSE,In-Store
SLS000014,20230824,CUST00410,PRD0077,STR005,PROMO008,1,232.8,0.1,23.28,232.8,209.52,131.09,131.09,78.43,FALSE,In-Store
SLS000015,20240506,CUST00480,PRD0028,STR010,PROMO007,5,413.35,0.15,310.01,2066.75,1756.74,212.12,1060.6,696.14,FALSE,In-Store
SLS000016,20251109,CUST00033,PRD0007,STR005,PROMO012,3,459.25,0.12,165.33,1377.75,1212.42,191.96,575.88,636.54,FALSE,In-Store
SLS000017,20250608,CUST00286,PRD0015,STR007,PROMO009,2,201.22,0.22,88.54,402.44,313.9,114.88,229.76,84.14,FALSE,In-Store
SLS000018,20240113,CUST00113,PRD0021,STR010,PROMO003,1,335.42,0.1,33.54,335.42,301.88,190.96,190.96,110.92,FALSE,In-Store
SLS000019,20251208,CUST00225,PRD0074,STR002,PROMO004,5,402.17,0.2,402.17,2010.85,1608.68,232.8,1164.0,444.68,FALSE,Mobile
SLS000020,20230220,CUST00400,PRD0067,STR001,PROMO011,2,354.78,0.18,127.72,709.56,581.84,195.39,390.78,191.06,FALSE,Online
SLS000021,20230922,CUST00270,PRD0030,STR006,PROMO009,4,313.88,0.22,276.21,1255.52,979.31,145.16,580.64,398.67,FALSE,In-Store
SLS000022,20241001,CUST00317,PRD0060,STR003,PROMO010,3,247.01,0.08,59.28,741.03,681.75,98.02,294.06,387.69,FALSE,Marketplace
SLS000023,20250708,CUST00023,PRD0038,STR007,PROMO011,2,183.76,0.18,66.15,367.52,301.37,80.15,160.3,141.07,FALSE,In-Store
SLS000024,20230924,CUST00015,PRD0072,STR001,PROMO004,5,359.86,0.2,359.86,1799.3,1439.44,189.89,949.45,489.99,TRUE,Online
SLS000025,20240302,CUST00253,PRD0024,STR003,PROMO010,1,377.12,0.08,30.17,377.12,346.95,179.54,179.54,167.41,FALSE,Marketplace
SLS000026,20230315,CUST00146,PRD0015,STR003,PROMO012,5,201.22,0.12,120.73,1006.1,885.37,114.88,574.4,310.97,FALSE,Marketplace
SLS000027,20240110,CUST00293,PRD0043,STR009,PROMO004,3,434.99,0.2,260.99,1304.97,1043.98,234.0,702.0,341.98,FALSE,In-Store
SLS000028,20230716,CUST00057,PRD0036,STR004,PROMO011,1,393.98,0.18,70.92,393.98,323.06,158.74,158.74,164.32,FALSE,In-Store
SLS000029,20240907,CUST00441,PRD0058,STR009,PROMO009,2,340.81,0.22,149.96,681.62,531.66,170.56,341.12,190.54,FALSE,In-Store
SLS000030,20231022,CUST00366,PRD0048,STR009,PROMO006,4,59.4,0.25,59.4,237.6,178.2,23.77,95.08,83.12,FALSE,In-Store
SLS000031,20240319,CUST00425,PRD0042,STR008,PROMO007,1,404.33,0.15,60.65,404.33,343.68,189.3,189.3,154.38,FALSE,In-Store
SLS000032,20240405,CUST00090,PRD0079,STR002,PROMO008,3,496.36,0.1,148.91,1489.08,1340.17,228.28,684.84,655.33,FALSE,Mobile
SLS000033,20230316,CUST00277,PRD0099,STR003,PROMO003,2,156.15,0.1,31.23,312.3,281.07,71.56,143.12,137.95,FALSE,Marketplace
SLS000034,20230320,CUST00321,PRD0094,STR005,PROMO006,3,64.1,0.25,48.07,192.3,144.23,25.0,75.0,69.23,FALSE,In-Store
SLS000035,20230708,CUST00432,PRD0005,STR004,PROMO003,5,45.21,0.1,22.61,226.05,203.44,26.01,130.05,73.39,FALSE,In-Store
SLS000036,20250410,CUST00050,PRD0047,STR003,PROMO009,1,55.28,0.22,12.16,55.28,43.12,21.74,21.74,21.38,FALSE,Marketplace
SLS000037,20240127,CUST00035,PRD0099,STR001,PROMO004,5,156.15,0.2,156.15,780.75,624.6,71.56,357.8,266.8,FALSE,Online
SLS000038,20250324,CUST00348,PRD0057,STR010,PROMO008,2,282.9,0.1,56.58,565.8,509.22,128.94,257.88,251.34,FALSE,In-Store
SLS000039,20230510,CUST00060,PRD0008,STR002,PROMO011,2,182.18,0.18,65.58,364.36,298.78,101.48,202.96,95.82,FALSE,Mobile
SLS000040,20250711,CUST00314,PRD0024,STR007,PROMO003,1,377.12,0.1,37.71,377.12,339.41,179.54,179.54,159.87,FALSE,In-Store
SLS000041,20240924,CUST00136,PRD0089,STR008,PROMO001,3,238.8,0.0,0.0,716.4,716.4,141.57,424.71,291.69,FALSE,In-Store
SLS000042,20231112,CUST00354,PRD0052,STR008,PROMO001,4,284.45,0.0,0.0,1137.8,1137.8,124.5,498.0,639.8,FALSE,In-Store
SLS000043,20230404,CUST00499,PRD0096,STR004,PROMO004,2,121.6,0.2,48.64,243.2,194.56,57.13,114.26,80.3,FALSE,In-Store
SLS000044,20250604,CUST00324,PRD0091,STR005,PROMO001,5,58.03,0.0,0.0,290.15,290.15,30.77,153.85,136.3,FALSE,In-Store
SLS000045,20250801,CUST00351,PRD0040,STR009,PROMO001,4,43.29,0.0,0.0,173.16,173.16,25.59,102.36,70.8,FALSE,In-Store
SLS000046,20230729,CUST00103,PRD0067,STR007,PROMO011,4,354.78,0.18,255.44,1419.12,1163.68,195.39,781.56,382.12,FALSE,In-Store
SLS000047,20231021,CUST00179,PRD0003,STR010,PROMO001,4,147.16,0.0,0.0,588.64,588.64,80.66,322.64,266.0,FALSE,In-Store
SLS000048,20250506,CUST00430,PRD0076,STR001,PROMO003,3,399.26,0.1,119.78,1197.78,1078.0,169.19,507.57,570.43,FALSE,Online
SLS000049,20231220,CUST00447,PRD0049,STR007,PROMO002,4,466.54,0.15,279.92,1866.16,1586.24,279.63,1118.52,467.72,FALSE,In-Store
SLS000050,20250612,CUST00220,PRD0074,STR008,PROMO010,2,402.17,0.08,64.35,804.34,739.99,232.8,465.6,274.39,FALSE,In-Store
SLS000051,20240821,CUST00047,PRD0054,STR006,PROMO011,3,244.95,0.18,132.27,734.85,602.58,121.9,365.7,236.88,FALSE,In-Store
SLS000052,20230630,CUST00462,PRD0059,STR005,PROMO007,3,125.4,0.15,56.43,376.2,319.77,59.21,177.63,142.14,FALSE,In-Store
SLS000053,20250403,CUST00001,PRD0068,STR008,PROMO012,2,418.76,0.12,100.5,837.52,737.02,212.99,425.98,311.04,TRUE,In-Store
SLS000054,20240215,CUST00395,PRD0044,STR001,PROMO002,1,149.24,0.15,22.39,149.24,126.85,77.63,77.63,49.22,FALSE,Online
SLS000055,20250326,CUST00077,PRD0049,STR009,PROMO011,3,466.54,0.18,251.93,1399.62,1147.69,279.63,838.89,308.8,FALSE,In-Store
SLS000056,20230305,CUST00278,PRD0089,STR004,PROMO003,5,238.8,0.1,119.4,1194.0,1074.6,141.57,707.85,366.75,FALSE,In-Store
SLS000057,20241005,CUST00115,PRD0048,STR003,PROMO006,2,59.4,0.25,29.7,118.8,89.1,23.77,47.54,41.56,FALSE,Marketplace
SLS000058,20251010,CUST00361,PRD0093,STR005,PROMO004,2,200.59,0.2,80.24,401.18,320.94,108.09,216.18,104.76,FALSE,In-Store
SLS000059,20231122,CUST00117,PRD0075,STR005,PROMO007,1,157.92,0.15,23.69,157.92,134.23,76.3,76.3,57.93,FALSE,In-Store
SLS000060,20231018,CUST00112,PRD0057,STR010,PROMO010,2,282.9,0.08,45.26,565.8,520.54,128.94,257.88,262.66,FALSE,In-Store
SLS000061,20240925,CUST00217,PRD0007,STR005,PROMO008,3,459.25,0.1,137.78,1377.75,1239.97,191.96,575.88,664.09,FALSE,In-Store
SLS000062,20250319,CUST00436,PRD0055,STR006,PROMO005,1,253.47,0.12,30.42,253.47,223.05,149.26,149.26,73.79,FALSE,In-Store
SLS000063,20240616,CUST00001,PRD0016,STR002,PROMO001,1,420.42,0.0,0.0,420.42,420.42,162.82,162.82,257.6,FALSE,Mobile
SLS000064,20230725,CUST00285,PRD0051,STR003,PROMO005,1,263.96,0.12,31.68,263.96,232.28,136.13,136.13,96.15,FALSE,Marketplace
SLS000065,20240629,CUST00263,PRD0089,STR010,PROMO004,2,238.8,0.2,95.52,477.6,382.08,141.57,283.14,98.94,FALSE,In-Store
SLS000066,20230907,CUST00262,PRD0065,STR007,PROMO004,3,142.01,0.2,85.21,426.03,340.82,58.7,176.1,164.72,FALSE,In-Store
